Probe	Chromosome	Start	End	Probe.Strand	gene_and_location	duplicates	Gene_name	action
Nhej1	1	74967139	75046639	-	Nhej1 1 74967139 75046639 -	TRUE	Nhej1	add
Nhej1	1	75125136	75125200	-	Nhej1 1 75125136 75125200 -	TRUE	Nhej1	add
2610027F03Rik	1	120621740	120679758	+	2610027F03Rik 1 120621740 120679758 +	TRUE	2610027F03Rik	add
2610027F03Rik	1	120688622	120690403	+	2610027F03Rik 1 120688622 120690403 +	TRUE	2610027F03Rik	add
Mia3	1	183326725	183351108	-	Mia3 1 183326725 183351108 -	TRUE	Mia3	add
Mia3	1	183358565	183369553	-	Mia3 1 183358565 183369553 -	TRUE	Mia3	add
Sptbn5	2	120046157	120057497	-	Sptbn5 2 120046157 120057497 -	TRUE	Sptbn5	add
Sptbn5	2	120059068	120061436	-	Sptbn5 2 120059068 120061436 -	TRUE	Sptbn5	add
Sptbn5	2	120061586	120072523	-	Sptbn5 2 120061586 120072523 -	TRUE	Sptbn5	add
Sptbn5	2	120076214	120085772	-	Sptbn5 2 120076214 120085772 -	TRUE	Sptbn5	add
Gm4430	2	129196086	129197126	-	Gm4430 2 129196086 129197126 -	TRUE	Gm4430	exclude
Gm4430	2	129197252	129199194	-	Gm4430 2 129197252 129199194 -	TRUE	Gm4430	NA
Efcab8	2	153780879	153795182	+	Efcab8 2 153780879 153795182 +	TRUE	Efcab8	add
Efcab8	2	153798619	153816482	+	Efcab8 2 153798619 153816482 +	TRUE	Efcab8	add
Efcab8	2	153842981	153844752	+	Efcab8 2 153842981 153844752 +	TRUE	Efcab8	add
Gm2464	3	13470439	13471829	-	Gm2464 3 13470439 13471829 -	TRUE	Gm2464	exclude
Gm2464	3	13471906	13474596	-	Gm2464 3 13471906 13474596 -	TRUE	Gm2464	NA
4921527H02Rik	3	124398086	124398331	-	4921527H02Rik 3 124398086 124398331 -	TRUE	4921527H02Rik	NA
4921527H02Rik	3	124398812	124399758	-	4921527H02Rik 3 124398812 124399758 -	TRUE	4921527H02Rik	add
Gm32754	3	140904998	140908467	-	Gm32754 3 140904998 140908467 -	TRUE	Gm32754	add
Gm32754	3	140909770	140917459	-	Gm32754 3 140909770 140917459 -	TRUE	Gm32754	add
G930045G22Rik	6	50846713	50847770	-	G930045G22Rik 6 50846713 50847770 -	TRUE	G930045G22Rik	add
G930045G22Rik	6	50849023	50878077	-	G930045G22Rik 6 50849023 50878077 -	TRUE	G930045G22Rik	add
Pik3c2g	6	139587221	139657231	+	Pik3c2g 6 139587221 139657231 +	TRUE	Pik3c2g	add
Pik3c2g	6	139715861	139969284	+	Pik3c2g 6 139715861 139969284 +	TRUE	Pik3c2g	add
Snhg14	7	59307924	59324149	-	Snhg14 7 59307924 59324149 -	TRUE	Snhg14	add
Snhg14	7	59384597	59411173	-	Snhg14 7 59384597 59411173 -	TRUE	Snhg14	add
Snhg14	7	59445703	59453239	-	Snhg14 7 59445703 59453239 -	TRUE	Snhg14	add
Snhg14	7	59619158	59904686	-	Snhg14 7 59619158 59904686 -	TRUE	Snhg14	add
Snhg14	7	59937371	59975759	-	Snhg14 7 59937371 59975759 -	TRUE	Snhg14	add
A230057D06Rik	7	61704519	61829422	-	A230057D06Rik 7 61704519 61829422 -	TRUE	A230057D06Rik	NA
A230057D06Rik	7	61916400	61928690	-	A230057D06Rik 7 61916400 61928690 -	TRUE	A230057D06Rik	exclude
Dlg2	7	90476672	90522791	+	Dlg2 7 90476672 90522791 +	TRUE	Dlg2	exclude
Dlg2	7	91090706	92449247	+	Dlg2 7 91090706 92449247 +	TRUE	Dlg2	NA
Jakmip3	7	138940730	139026888	+	Jakmip3 7 138940730 139026888 +	TRUE	Jakmip3	add
Jakmip3	7	139064641	139083976	+	Jakmip3 7 139064641 139083976 +	TRUE	Jakmip3	add
Muc2	7	141690340	141698782	+	Muc2 7 141690340 141698782 +	TRUE	Muc2	add
Muc2	7	141699186	141701484	+	Muc2 7 141699186 141701484 +	TRUE	Muc2	add
Muc2	7	141702097	141702775	+	Muc2 7 141702097 141702775 +	TRUE	Muc2	add
Muc2	7	141704165	141704611	+	Muc2 7 141704165 141704611 +	TRUE	Muc2	add
Muc2	7	141744612	141754693	+	Muc2 7 141744612 141754693 +	TRUE	Muc2	add
Junb	8	84974484	84976542	-	Junb 8 84974484 84976542 -	TRUE	Junb	add
Junb	8	84976910	84978718	-	Junb 8 84976910 84978718 -	TRUE	Junb	add
Ppp2r3d	9	124422622	124424154	-	Ppp2r3d 9 124422622 124424154 -	TRUE	Ppp2r3d	add
Ppp2r3d	9	124438995	124440897	-	Ppp2r3d 9 124438995 124440897 -	TRUE	Ppp2r3d	add
Ppp2r3d	9	124441769	124442748	-	Ppp2r3d 9 124441769 124442748 -	TRUE	Ppp2r3d	add
Ppp2r3d	9	124474342	124476898	-	Ppp2r3d 9 124474342 124476898 -	TRUE	Ppp2r3d	add
Gm12162	11	45409042	45420784	-	Gm12162 11 45409042 45420784 -	TRUE	Gm12162	add
Gm12162	11	45452399	45468504	-	Gm12162 11 45452399 45468504 -	TRUE	Gm12162	add
Gm11534	11	95869154	95869724	+	Gm11534 11 95869154 95869724 +	TRUE	Gm11534	add
Gm11534	11	95875078	95876380	+	Gm11534 11 95875078 95876380 +	TRUE	Gm11534	add
Scn4a	11	106318592	106349389	-	Scn4a 11 106318592 106349389 -	TRUE	Scn4a	add
Scn4a	11	106349455	106353288	-	Scn4a 11 106349455 106353288 -	TRUE	Scn4a	add
Itgb1bp1	12	21240825	21247323	-	Itgb1bp1 12 21240825 21247323 -	TRUE	Itgb1bp1	add
Itgb1bp1	12	21269806	21286237	-	Itgb1bp1 12 21269806 21286237 -	TRUE	Itgb1bp1	add
Gm36638	13	101749720	101751888	-	Gm36638 13 101749720 101751888 -	TRUE	Gm36638	exclude
Gm36638	13	101752806	101753205	-	Gm36638 13 101752806 101753205 -	TRUE	Gm36638	NA
Gm27177	14	69582164	69644752	-	Gm27177 14 69582164 69644752 -	TRUE	Gm27177	add
Gm27177	14	69680584	69683286	-	Gm27177 14 69680584 69683286 -	TRUE	Gm27177	add
Crybg3	16	59490775	59555752	-	Crybg3 16 59490775 59555752 -	TRUE	Crybg3	NA
Crybg3	16	59558013	59600886	-	Crybg3 16 59558013 59600886 -	TRUE	Crybg3	exclude
Gm3448	17	14964189	14978812	-	Gm3448 17 14964189 14978812 -	TRUE	Gm3448	add
Ermard	17	14978864	14991577	+	Ermard 17 14978864 14991577 +	TRUE	Ermard	add
Gm3448	17	14995783	15041537	-	Gm3448 17 14995783 15041537 -	TRUE	Gm3448	add
Ermard	17	15010266	15022448	+	Ermard 17 15010266 15022448 +	TRUE	Ermard	add
Ermard	17	15041641	15064232	+	Ermard 17 15041641 15064232 +	TRUE	Ermard	add
Chd1	17	15704967	15772610	+	Chd1 17 15704967 15772610 +	TRUE	Chd1	add
Chd1	17	17374332	17394898	+	Chd1 17 17374332 17394898 +	TRUE	Chd1	add
Gm26652	X	19224789	19225263	-	Gm26652 X 19224789 19225263 -	TRUE	Gm26652	add
Gm26652	X	19232963	19237856	-	Gm26652 X 19232963 19237856 -	TRUE	Gm26652	add
Tex16	X	112011007	112093089	+	Tex16 X 112011007 112093089 +	TRUE	Tex16	add
Tex16	X	112093496	112127326	+	Tex16 X 112093496 112127326 +	TRUE	Tex16	add
